Ile wierszy,Ile atrybutów,Ilość pustych wartości,Minimalna ilość pustych w kolumach,Średnia ilosc pustych w kolumnach,Maksymalna ilosc pustych w kolumnach,Minimalna srednia w kolumnach,Srednia średnich,Maksymalna srednia w kolumnach,Minimalna mediana,Średnia mediana danych,Maksymalna mediana,Minimalna moda,Średnia moda danych,Maksymalna moda,Minimalne odchylenie standardowe,Średnie odchylenie standardowe,Maksymalne odchylenie standardowe,Minimalna wariancja,Średnia wariancja,Maksymalna wariancja,Minimalna skośność,Średnia skośność,Maksymalna skośność,Minimalna kurtoza,Średnia kurtoza,Maksymalna kurtoza,Minimalna wartosc danych,Maksymalna wartość w danych,Minimalny kwartyl 25%,Średni kwartyl 25%,Maksymalny kwartyl 25%,Minimalny kwartyl 50%,Średni kwartyl 50%,Maksymalny kwartyl 50%,Minimalny kwartyl 75%,Średni kwartyl 75%,Maksymalny kwartyl 75%,Minimalny rozstęp,Średni rozstęp,Maksymalny rozstęp,Ilość unikalnych wartości atrybutu decyzyjnego,Minimalna liczba unikalnych wartości,Średnia ilość unikalnych wartości atrybutów,Maksymalna liczba unikalnych wartości,Rozkład normalny Shapiro,Rozkład normalny D’Agostino’s,Rozkład normalny Anderson-Darling,Metoda_metryka,Parametr,Wynik miary
768,9,0,0,0.0,0,0.349,40.0261,120.8945,0.0,34.0969,117.0,0.0,24.9171,99.0,0.3313,22.9274,115.244,0.1098,1682.7448,13281.1801,-1.8436,0.541,2.2723,-1.6009,2.2891,7.2143,0.0,846.0,0.0,23.7271,99.0,0.0,34.0969,117.0,0.6262,51.6363,140.25,1.0,157.0491,846.0,2,2,139.5556,517,0,0,0,Agglomerative cosine,2.0,0.63
1000,25,0,0,0.0,0,0.022,4.7865,35.546,0.0,4.04,33.0,0.0,3.8,27.0,0.1468,2.6218,28.2526,0.0215,43.4069,798.2097,-2.8069,1.0356,6.5272,-1.8501,3.6792,40.6862,0.0,184.0,0.0,2.96,27.0,0.0,4.04,33.0,0.0,5.84,42.0,1.0,13.92,182.0,2,2,11.0,125,0,0,0,Agglomerative euclidean,6.0,0.45
1420,15,0,0,0.0,0,-197.8254,-110.8958,710.5,-200.0,-122.9667,710.5,-200.0,-171.0667,33.0,16.2591,57.6085,410.063,264.3585,12423.6321,168151.6667,0.0,3.6953,7.3827,-1.5307,19.5185,52.774,-200.0,1420.0,-200.0,-147.8833,355.75,-200.0,-122.9667,710.5,-200.0,-81.65,1065.25,104.0,223.6667,1419.0,0,14,120.8667,1420,0,0,0,Agglomerative cosine,11.0,0.44
150,5,0,0,0.0,0,1.1987,3.1709,5.8433,1.3,3.29,5.8,0.2,2.14,5.0,0.4336,0.9217,1.7644,0.188,1.0481,3.1132,-0.2745,0.0539,0.3341,-1.5101,-0.9026,0.2908,0.1,7.9,0.3,2.16,5.1,1.3,3.29,5.8,1.8,3.92,6.4,2.0,3.26,5.9,3,3,25.2,43,0,1,0,KMeans cosine,8.0,0.42
25,15,0,0,0.0,0,-202.34,-86.9442,0.2,-232.82,-95.712,0.0,-274.27,-117.9133,0.0,0.4082,33.169,75.1309,0.1667,1820.2392,5644.6573,0.6885,1.2532,1.5975,-0.6187,0.1052,0.5929,-274.27,1.0,-264.81,-112.5973,0.0,-232.82,-95.712,0.0,-178.7,-80.1027,0.0,1.0,99.1373,219.38,0,2,17.2667,25,0,1,0,KMeans euclidean,2.0,0.75
1599,12,0,0,0.0,0,0.0875,7.5009,46.4678,0.079,6.5905,38.0,0.0,4.9398,28.0,0.0019,4.0682,32.8953,0.0,99.8372,1082.1024,-0.1393,1.5312,5.6803,-1.9831,7.4511,41.7158,0.0,289.0,0.0,4.4005,22.0,0.079,6.5905,38.0,0.09,9.4315,62.0,0.0136,32.7844,283.0,2,2,121.25,436,0,0,0,Agglomerative euclidean,5.0,0.56
1151,20,0,0,0.0,0,0.0372,14.7355,64.0967,0.0,12.1925,44.2491,0.0,4.2707,16.0,0.0179,11.4653,58.4853,0.0003,342.8268,3420.5291,-16.8967,1.9539,11.9643,-1.9881,47.2568,283.9909,0.0,403.9391,0.0,5.707,22.2716,0.0,12.1925,44.2491,0.0039,20.985,87.8041,0.1613,75.4745,403.5898,2,2,469.55,1141,0,0,0,Agglomerative cosine,6.0,0.59
811,107,0,0,0.0,0,0.2076,4.7082,16.3083,0.0,2.0417,9.0,0.0,0.0189,2.0,0.2143,6.1973,17.1506,0.0459,73.5289,294.1444,0.1937,1.0744,1.7203,-1.1632,0.5292,2.4246,0.0,73.0,0.0,0.1104,3.0,0.0,2.0417,9.0,0.33,6.3262,21.0,1.0,27.9811,73.0,0,25,66.5,94,0,1,0,Agglomerative cosine,7.0,0.76
70,206,0,0,0.0,0,0.0,0.2146,12.2571,0.0,0.1117,12.0,0.0,0.1117,13.0,0.0,0.2695,3.6263,0.0,0.1718,13.1503,-1.3213,1.5829,8.3666,-2.0562,5.4636,70.0,0.0,22.0,0.0,0.0643,9.0,0.0,0.1117,12.0,0.0,0.3034,15.0,0.0,0.7913,16.0,7,1,1.7767,14,0,0,0,Agglomerative cityblock,2.0,0.36
108,325,0,0,0.0,0,0.0093,0.0185,0.0741,0.0,0.0,0.0,0.0,0.0,0.0,0.0962,0.1307,0.2631,0.0093,0.0182,0.0692,3.2987,8.021,10.3923,9.0486,67.8456,108.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,2,2.0,2,0,1,0,Agglomerative cityblock,7.0,0.69
440,8,0,0,0.0,0,1.3227,4153.7503,12000.2977,1.0,2524.8125,8504.0,1.0,175.75,683.0,0.4681,5246.8431,12647.3289,0.2191,44873535.7417,159954927.4214,-1.2836,3.7964,11.1516,-1.4275,37.4983,170.6949,1.0,112151.0,1.0,1028.0,3127.75,1.0,2524.8125,8504.0,2.0,5510.1562,16933.75,1.0,53497.375,112148.0,0,2,316.875,433,0,0,0,Agglomerative cityblock,3.0,0.75
94,19,0,0,0.0,0,2.3511,113.0913,451.4787,2.0,106.7105,365.0,1.0,103.4211,334.0,1.1426,21.0609,174.6818,1.3055,1862.0208,30513.7361,-0.2828,0.8107,6.3774,-1.378,3.1927,53.2961,0.0,982.0,1.0,97.8816,329.75,2.0,106.7105,365.0,3.0,127.8421,576.0,3.0,94.3684,777.0,0,4,35.5789,86,0,1,0,KMeans cosine,8.0,0.45
5394,5,0,0,0.0,0,1.0,1611.5986,2367.3773,1.0,1617.25,2375.0,1.0,1618.5,2375.0,0.0,38.1348,57.9426,0.0,1964.5932,3357.3435,-6.659,-3.8089,0.0,0.0,31.1086,49.5767,1.0,2739.0,1.0,1612.75,2372.0,1.0,1617.25,2375.0,1.0,1620.5,2378.0,0.0,712.75,1095.0,1,1,213.25,303,0,0,0,KMeans cosine,9.0,0.69
6536,4,0,0,0.0,0,9.4061,23189739.3632,92758872.7567,9.2922,25135289.5866,100541078.0,-0.0957,37039461.7896,148157781.0,0.2843,8668377.0658,34673492.0369,0.0808,300562762507474.4,1202251050029661.5,-0.624,0.3148,1.2914,-0.8932,-0.0445,1.7578,-0.0957,155591012.0,5.9986,20809627.2024,83238437.0,9.2922,25135289.5866,100541078.0,9.9408,27341580.7493,109366229.0,1.1442,36337546.6185,145350077.0,0,934,4995.75,6536,0,1,0,DBScan euclidean,1271.0,0.94
6424,6,0,0,0.0,0,0.0593,95.8538,332.1785,0.06,66.0667,191.0,0.03,29.2783,138.0,0.035,90.9767,387.0523,0.0012,27962.2512,149809.5099,0.2276,1.5741,3.1332,-1.1844,3.8372,11.007,0.0,3502.0,0.03,38.635,124.0,0.06,66.0667,191.0,0.08,117.0671,335.0,0.37,684.4717,3481.0,0,28,679.5,2277,0,0,0,Agglomerative cosine,9.0,0.59
