Ile wierszy,Ile atrybutów,Ilość pustych wartości,Minimalna ilość pustych w kolumach,Średnia ilosc pustych w kolumnach,Maksymalna ilosc pustych w kolumnach,Minimalna srednia w kolumnach,Srednia średnich,Maksymalna srednia w kolumnach,Minimalna mediana,Średnia mediana danych,Maksymalna mediana,Minimalna moda,Średnia moda danych,Maksymalna moda,Minimalne odchylenie standardowe,Średnie odchylenie standardowe,Maksymalne odchylenie standardowe,Minimalna wariancja,Średnia wariancja,Maksymalna wariancja,Minimalna skośność,Średnia skośność,Maksymalna skośność,Minimalna kurtoza,Średnia kurtoza,Maksymalna kurtoza,Minimalna wartosc danych,Maksymalna wartość w danych,Minimalny kwartyl 25%,Średni kwartyl 25%,Maksymalny kwartyl 25%,Minimalny kwartyl 50%,Średni kwartyl 50%,Maksymalny kwartyl 50%,Minimalny kwartyl 75%,Średni kwartyl 75%,Maksymalny kwartyl 75%,Minimalny rozstęp,Średni rozstęp,Maksymalny rozstęp,Ilość unikalnych wartości atrybutu decyzyjnego,Minimalna liczba unikalnych wartości,Średnia ilość unikalnych wartości atrybutów,Maksymalna liczba unikalnych wartości,Rozkład normalny Shapiro,Rozkład normalny D’Agostino’s,Rozkład normalny Anderson-Darling,Metoda_metryka,Parametr,Wynik miary
116,7,0,0,0.0,0,5.7931,82623.5394,292991.6897,0.0,81022.2857,291181.5,0.0,4.2857,28.0,7.7229,71656.9596,250061.1529,59.6438,17366638051.7979,62530580177.642,-0.4173,0.1563,0.5815,-1.6913,-1.5616,-1.2,0.0,711484.0,0.0,2609.6786,9508.5,0.0,81022.2857,291181.5,16.0,152051.3571,535607.75,16.0,201771.0,711483.0,0,2,87.8571,116,0,0,0,Agglomerative cosine,9.0,0.77
5611,11,1161,0,105.5455,1161,0.0321,479.9532,2773.8073,0.0,479.011,2766.0,0.0,209.111,2017.0,0.0,163.3976,1606.7642,0.0,258196.4677,2581691.3477,-3.3482,0.6873,5.3123,-1.765,5.3459,26.2298,0.0,5564.0,0.0,340.03,2010.0,0.0,479.011,2766.0,0.0,619.42,4163.5,0.0,578.76,5563.0,0,1,582.8,5564,0,0,0,Agglomerative cosine,3.0,0.71
158,12,0,0,0.0,0,0.0479,14.6536,79.5,0.0439,14.7306,79.5,0.0,8.2339,82.0,0.0171,8.1093,45.7548,0.0003,349.7153,2093.5,-1.0069,0.1091,1.9834,-1.2,0.4026,5.9893,0.0,158.0,0.0373,7.7671,40.25,0.0439,14.7306,79.5,0.0523,21.6235,118.75,0.1184,28.1063,157.0,0,10,144.9167,158,0,1,0,Agglomerative cosine,4.0,0.85
155,12,0,0,0.0,0,0.1231,14.7847,78.0,0.0898,14.7799,78.0,0.0,1.0698,5.074,0.1017,7.917,44.8888,0.0103,336.2049,2015.0,-1.1811,-0.0502,1.4764,-1.2,-0.0407,1.7434,0.0,155.0,0.0573,8.0559,39.5,0.0898,14.7799,78.0,0.1533,21.4914,116.5,0.4643,27.6409,154.0,0,151,154.6667,155,0,1,1,Agglomerative cosine,6.0,0.83
3019,7,0,0,0.0,0,1.0,3597337.8111,21583912.1941,1.0,2886901.765,17321301.0,1.0,2765632.355,16593732.0,0.0,3210393.469,19262307.7848,0.0,61839416866399.98,371036501197696.8,0.0,1.9049,7.6225,0.0,18.9236,110.7458,1.0,438231658.0,1.0,2080052.7767,12480251.0,1.0,2886901.765,17321301.0,1.0,4187952.7717,25127569.0,0.0,72715475.365,436292597.0,0,1,1787.1667,3018,0,0,0,KMeans cosine,6.0,0.76
500,9,0,0,0.0,0,0.56,55.4368,316.472,0.72,55.535,317.0,0.71,55.2138,312.0,0.1411,2.71,11.2951,0.0199,21.0435,127.5804,-0.29,-0.0984,0.0956,-1.949,-0.8239,-0.4547,0.0,340.0,0.0,53.4072,308.0,0.72,55.535,317.0,0.82,57.4825,325.0,0.63,11.8438,50.0,0,2,43.5,184,0,0,0,KMeans cosine,7.0,0.7
36,4,0,0,0.0,0,-73.5447,-3.9736,37.0667,-86.4712,-7.4502,36.1704,-123.1193,-23.5863,25.7743,0.5,17.1159,51.6123,0.25,702.2262,2663.8346,0.0,0.4823,1.4862,-1.2,0.0509,1.2669,-123.1193,49.2497,-105.4013,-15.2213,32.7661,-86.4712,-7.4502,36.1704,-74.8743,-1.1565,40.9982,2.0,54.7028,158.3357,0,3,27.75,36,0,1,1,KMeans cosine,5.0,0.69
150,2,0,0,0.0,0,75.5,75.5,75.5,75.5,75.5,75.5,1.0,1.0,1.0,43.4454,43.4454,43.4454,1887.5,1887.5,1887.5,0.0,0.0,0.0,-1.2,-1.2,-1.2,1.0,150.0,38.25,38.25,38.25,75.5,75.5,75.5,112.75,112.75,112.75,149.0,149.0,149.0,0,150,150.0,150,0,1,0,Agglomerative euclidean,4.0,0.54
2200,14,200,0,14.2857,200,11.6486,434.6258,2014.3182,7.0,445.0231,2014.0,1.0,410.78,2014.0,0.7621,166.9187,305.7653,0.5808,42639.5902,93492.4301,-1.5406,0.2787,4.1849,-1.3505,1.3568,19.8355,1.0,2015.0,1.0,286.5931,2014.0,7.0,445.0231,2014.0,19.0,572.8688,2015.0,3.0,552.8185,1023.0,0,4,489.1538,1024,0,0,0,Agglomerative cosine,5.0,0.46
125,61,99,0,1.623,19,1.088,72.5938,1073.4,1.0,67.459,940.0,0.0,68.7541,1315.0,0.2844,23.2629,248.6671,0.0809,3430.9023,61835.3226,-2.0484,0.3978,3.4471,-2.0304,0.0984,12.6573,0.0,1315.0,1.0,55.0492,900.0,1.0,67.459,940.0,1.0,89.3607,1315.0,1.0,73.9672,740.0,0,2,26.7869,125,0,0,0,KMeans cosine,6.0,0.35
10841,13,1474,0,113.3846,1474,1.0739,593.1917,4466.8509,1.0,508.5538,4240.0,1.0,150.8608,1356.0,0.2623,448.8018,2842.6753,0.0688,917210.7309,8080802.6265,-0.3653,1.7445,9.24,-1.5952,15.4015,103.0296,0.0,9660.0,1.0,199.6231,1932.0,1.0,508.5538,4240.0,1.0,939.5,6950.0,3.0,1588.8462,9659.0,0,4,1591.5385,9660,0,0,0,Agglomerative cosine,2.0,0.72
401,35,1658,0,47.3714,194,0.0,34278638.2243,1199745348.7317,0.0,34278511.304,1199745348.73,0.0,34278629.59,1199745348.73,0.0,4594924.4297,160807126.0244,0.0,738826628621964.1,2.58589317802272e+16,-1.9384,0.7229,4.6555,-1.4923,1.7941,21.6582,0.0,1988299991.0,0.0,31543644.6117,1104025414.0,0.0,34278511.304,1199745348.73,0.0,37316183.6409,1306059197.0,0.0,39611368.3706,1386299679.0,0,1,53.5714,311,0,0,0,KMeans cosine,3.0,0.98
500,11,300,0,27.2727,300,1.154,129.476,943.2,1.0,134.41,1000.0,0.0,100.91,1000.0,0.3613,36.4021,144.4818,0.1305,4054.3085,20875.0,-2.7992,0.1434,1.9229,-1.7636,0.639,10.745,0.0,1000.0,1.0,112.9555,1000.0,1.0,134.41,1000.0,1.0,154.7736,1000.0,1.0,153.2727,700.0,0,2,85.2727,500,0,0,0,KMeans cosine,2.0,0.61
200,5,0,0,0.0,0,1.56,37.7925,60.56,2.0,37.375,61.5,2.0,32.5,54.0,0.4976,16.6387,26.2647,0.2476,388.0177,689.8356,-0.2436,0.1292,0.4856,-1.9604,-0.8893,-0.0985,1.0,137.0,1.0,26.5,41.5,2.0,37.375,61.5,2.0,50.5,78.0,1.0,68.25,122.0,0,2,50.25,84,0,1,0,KMeans cosine,2.0,0.62
260,24,0,0,0.0,0,0.2038,63.8155,495.75,0.0,45.75,340.0,0.0,12.625,180.0,0.4291,59.4276,577.0263,0.1842,17821.7737,332959.3774,-0.9901,1.632,5.5022,-1.348,6.2873,35.2507,0.0,3600.0,0.0,22.349,210.0,0.0,45.75,340.0,0.0,96.9167,865.0,2.5,383.8542,3600.0,0,5,55.25,260,0,1,0,Agglomerative euclidean,4.0,0.62
8124,23,0,0,0.0,0,1.0,2.2944,5.2742,1.0,2.1739,5.0,1.0,2.2174,9.0,0.0,1.0295,2.6697,0.0,1.5093,7.127,-0.8453,1.0392,7.3082,-1.9953,4.0911,56.0647,1.0,12.0,1.0,1.4783,4.0,1.0,2.1739,5.0,1.0,3.0435,7.0,0.0,4.1739,11.0,2,1,5.1739,12,0,0,0,Agglomerative cityblock,4.0,0.39
3020,7,1,0,0.1429,1,1.0,1894396.8332,11366260.3758,1.0,1599956.2192,9599642.0,1.0,1537743.74,9226400.0,0.0,1141903.0583,6851349.5814,0.0,7823498514675.731,46940991086872.09,0.0,0.9807,3.4374,-1.1134,2.9265,21.9819,1.0,86377976.0,1.0,1202417.2542,7214442.0,1.0,1599956.2192,9599642.0,1.0,2255025.6267,13529962.0,0.0,14257387.005,85544090.0,0,1,1842.3333,3018,0,0,0,KMeans cosine,2.0,0.76
429,25,5166,0,206.64,426,0.0,578.3135,1355.7408,0.0,171.4573,1355.74,0.0,563.6776,1355.74,0.0,1838.8889,4152.1605,0.0,6577618.3252,17240436.6832,-0.1578,11.2053,20.712,-1.2055,201.0712,428.9918,0.0,69202.0,0.0,72.7418,965.0,0.0,171.4573,1355.74,0.0,581.8044,1384.0,0.0,31290.6256,69202.0,0,1,181.28,429,0,1,0,KMeans cityblock,5.0,0.68
1010,150,571,0,3.8067,20,1.097,4.6272,173.5141,1.0,4.58,173.0,1.0,4.4267,170.0,0.306,1.3136,13.7017,0.0936,3.3372,187.7369,-3.1139,0.0383,2.4108,-1.6651,-0.2515,14.9092,0.0,203.0,1.0,3.6267,167.0,1.0,4.58,173.0,1.0,5.6533,180.0,2.0,5.7467,141.0,0,3,5.7467,70,0,0,0,Agglomerative cosine,7.0,0.13
4897,11,3827,0,347.9091,3796,7.6919,251.0386,2009.6586,0.0,244.888,2009.0,0.0,225.408,2007.0,3.1976,33.5139,164.5932,10.2245,3494.592,27090.9284,0.2414,1.8438,4.0734,-1.1208,7.5193,29.979,0.0,2015.0,0.0,224.318,2007.0,0.0,244.888,2009.0,13.4,272.468,2012.0,10.0,162.09,658.0,0,11,401.1,659,0,0,0,KMeans cosine,5.0,0.5
240,42,240,0,5.7143,80,0.8375,1204.5792,23908.9625,1.0,1164.0171,23168.5,0.0,1034.2102,21547.0,0.9477,203.9189,3247.1616,0.8982,502187.4933,10544058.6304,-0.4503,0.6124,1.801,-1.4327,0.4262,3.98,0.0,35130.0,0.0,1058.9107,21577.0,1.0,1164.0171,23168.5,1.0,1350.7679,26294.0,5.0,1174.7381,18763.0,0,6,81.6429,236,0,1,0,KMeans cosine,6.0,0.4
395,33,0,0,0.0,0,0.3342,3.3172,16.6962,0.0,3.2121,17.0,0.0,2.9091,16.0,0.2195,1.2501,8.0031,0.0482,3.9349,64.0495,-2.608,0.4563,4.1148,-2.0089,1.4348,21.7191,0.0,75.0,0.0,2.5455,16.0,0.0,3.2121,17.0,0.0,4.0909,18.0,1.0,6.1818,75.0,0,2,5.7273,34,0,0,0,KMeans cosine,7.0,0.31
649,33,0,0,0.0,0,0.2219,3.3087,16.7442,0.0,3.0909,17.0,0.0,2.9394,17.0,0.2378,1.0706,4.6408,0.0566,2.0641,21.5366,-2.5869,0.4453,3.7106,-2.0027,1.0451,11.8049,0.0,32.0,0.0,2.6061,16.0,0.0,3.0909,17.0,0.0,4.0303,18.0,1.0,4.9394,32.0,0,2,5.3636,24,0,0,0,Agglomerative cosine,10.0,0.3
1000,8,0,0,0.0,0,1.355,26.7549,69.169,1.0,26.75,70.0,1.0,27.25,74.0,0.4788,6.1842,15.1957,0.2292,84.9279,230.908,-0.2894,0.0571,0.607,-1.9988,-0.9689,0.275,0.0,100.0,1.0,22.5938,59.0,1.0,26.75,70.0,2.0,31.25,79.0,1.0,35.625,100.0,0,2,30.875,81,0,0,0,Agglomerative cosine,7.0,0.47
2416,7,0,0,0.0,0,182.9166,796408.8232,5572721.6887,208.87,654381.8671,4578400.0,1.0,94519.8771,661500.0,116.8576,712728.7854,4987809.1519,13655.6966,3554034384720.177,24878240135661.91,-0.0144,0.3122,2.1652,-1.2,0.4344,7.4283,1.0,47065000.0,33.5875,271435.9111,1899275.0,208.87,654381.8671,4578400.0,262.1025,1052042.1829,7361150.0,657.55,6707504.1429,46946500.0,0,2128,2236.1429,2416,0,0,0,KMeans euclidean,4.0,0.58
161,8,0,0,0.0,0,8.3642,4269.8731,33421.441,9.0833,4154.0521,32906.0,-80.0,1256.9896,10001.0,17.267,2854.3792,20826.5344,298.1493,54600713.1928,433744534.8606,-0.2967,0.7549,5.2006,-1.2187,2.6758,26.1463,-175.0,82506.0,-60.85,1712.1729,13601.0,9.0833,4154.0521,32906.0,36.1167,4344.0458,34150.0,63.0,10435.4979,72505.0,0,64,138.375,161,0,1,0,Agglomerative cosine,2.0,1.0
480,17,0,0,0.0,0,1.3646,12.7142,54.7979,1.0,12.7941,65.0,1.0,11.4706,80.0,0.4818,8.0876,33.08,0.2321,209.8982,1094.2868,-0.3424,0.3745,0.9251,-2.0066,-1.2757,0.0289,0.0,100.0,1.0,5.0441,20.0,1.0,12.7941,65.0,2.0,19.7647,84.0,1.0,26.6471,100.0,3,2,24.7059,90,0,0,0,DBScan cosine,0.11,0.53
1353,10,0,0,0.0,0,-0.2587,0.0225,0.3274,-1.0,0.2,1.0,-1.0,0.0,1.0,0.3186,0.7972,0.976,0.1015,0.6691,0.9525,-0.6693,0.1979,2.4231,-1.8656,-0.937,3.8772,-1.0,1.0,-1.0,-0.8,0.0,-1.0,0.2,1.0,0.0,0.7,1.0,1.0,1.9,2.0,3,2,2.8,3,0,0,0,Agglomerative cosine,9.0,0.33
470,17,0,0,0.0,0,1.0043,5.2463,62.534,1.0,4.9741,62.0,1.0,4.9224,62.0,0.0652,1.5499,11.7679,0.0042,12.7918,138.4825,-1.8015,3.7117,15.2805,-1.3492,34.9313,232.4829,0.96,87.0,1.0,4.6212,57.0,1.0,4.9741,62.0,1.0,5.6404,69.0,1.0,10.4824,85.34,2,2,20.6471,136,0,1,0,Agglomerative cosine,2.0,0.99
4339,6,0,0,0.0,0,1.9829,173.1738,534.1047,2.0,167.4622,528.5,0.0,196.2135,674.0,0.1295,50.1397,154.4955,0.0168,5259.3456,23868.8595,-7.4626,0.7994,5.2736,-0.4035,25.6551,53.7157,0.0,1005.5161,2.0,143.2414,422.875,2.0,167.4622,528.5,2.0,194.7812,643.087,1.0,456.3476,919.0161,2,2,3389.3333,4311,0,0,0,Agglomerative cosine,11.0,0.54
2000,8,0,0,0.0,0,-81.7265,-54.9171,2.5,-83.0,-56.0625,2.5,-87.0,-58.125,1.0,1.1183,6.8484,11.472,1.2506,58.6072,131.6064,-0.2901,0.3454,1.0606,-1.3604,0.0282,1.3071,-98.0,4.0,-87.0,-60.0312,1.75,-83.0,-56.0625,2.5,-78.0,-50.4688,3.25,3.0,39.875,66.0,0,4,37.375,59,0,0,0,Agglomerative cosine,4.0,0.54
